"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.135867859E1,7.298108935E-2,2.560918331E0,9.393025398E0
3.137670886E1,9.690931439E-2,2.560320139E0,9.464810371E0
3.139473687E1,4.965107143E-2,2.531606436E0,9.613164902E0
3.141276666E1,4.426721856E-2,2.518445730E0,9.407979965E0
3.143079455E1,2.033899166E-2,2.523829699E0,9.307481766E0
3.144882458E1,1.196411322E-3,2.509472847E0,9.412766457E0
3.146685217E1,1.136590727E-2,2.508874655E0,9.503094673E0
3.148488146E1,1.495514158E-2,2.461018085E0,9.431908607E0
3.150291150E1,-3.708875179E-2,2.437688112E0,9.474979401E0
3.152094134E1,-7.956135273E-2,2.452643156E0,9.513264656E0
3.153895300E1,-9.870393574E-2,2.462214470E0,9.541978836E0
3.155699780E1,-7.477571070E-2,2.485544443E0,9.556335449E0
3.157502331E1,-7.477571070E-2,2.452643156E0,9.518050194E0
3.159305987E1,-2.811566554E-2,2.408974171E0,9.508479118E0
3.161108355E1,-4.247260094E-2,2.409572363E0,9.489336014E0
3.162911303E1,-8.973085135E-2,2.400599241E0,9.494720459E0
3.164714160E1,-8.015955985E-2,2.414358139E0,9.542576790E0
3.166517126E1,-8.015955985E-2,2.423929453E0,9.565906525E0
3.168319995E1,-1.040877849E-1,2.400599241E0,9.528220177E0
3.170122979E1,-1.232303679E-1,2.395813704E0,9.523433685E0
3.171925732E1,-1.040877849E-1,2.410170555E0,9.509077072E0
3.173728363E1,-9.990034252E-2,2.386242390E0,9.446864128E0
3.175529968E1,-6.221338734E-2,2.357528448E0,9.394221306E0
3.177334466E1,-1.004985496E-1,2.347957134E0,9.456435204E0
3.179137322E1,-1.758724600E-1,2.367697954E0,9.542576790E0
3.180940728E1,-1.854437590E-1,2.372483730E0,9.576076508E0
3.182743121E1,-1.806581169E-1,2.377269268E0,9.566504478E0
3.184546106E1,-1.998006850E-1,2.363510609E0,9.561718941E0
3.186348889E1,-1.950150430E-1,2.353939295E0,9.537791252E0
3.188151922E1,-1.764706671E-1,2.344367981E0,9.519247055E0
3.189954663E1,-1.806581169E-1,2.349153519E0,9.514460564E0
3.191757531E1,-1.854437590E-1,2.353939295E0,9.528220177E0
3.193560455E1,-1.950150430E-1,2.344367981E0,9.537791252E0
3.195363415E1,-1.716850251E-1,2.329412937E0,9.552147865E0
3.197166119E1,-1.573280841E-1,2.315055847E0,9.524032593E0
3.198969293E1,-1.668993831E-1,2.315654039E0,9.524032593E0
3.200771734E1,-1.812563092E-1,2.315654039E0,9.528818130E0
3.202573584E1,-1.764706671E-1,2.334796667E0,9.524032593E0
3.204377764E1,-1.621137410E-1,2.339582443E0,9.495318413E0
3.206180706E1,-1.668993831E-1,2.320439816E0,9.504889488E0
3.207983978E1,-1.764706671E-1,2.310868502E0,9.528818130E0
3.209786608E1,-1.764706671E-1,2.310868502E0,9.533603668E0
3.211589392E1,-1.764706671E-1,2.320439816E0,9.514460564E0
3.213392395E1,-1.716850251E-1,2.325225353E0,9.519247055E0
3.215195178E1,-1.812563092E-1,2.320439816E0,9.519247055E0
3.216998187E1,-1.854437590E-1,2.334796667E0,9.519247055E0
3.218800970E1,-2.476571500E-1,2.330609322E0,9.500103951E0
3.220603991E1,-2.285145670E-1,2.330609322E0,9.524032593E0
3.222406750E1,-1.956132501E-1,2.334796667E0,9.509675026E0
